Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,Sensation_seeking,Caffeine,Cannabis,Meth
55-64,0,University degree,28.0,31.0,46.0,37.0,41.0,0.88113,0.40148,6,2,1
55-64,1,Masters degree,19.0,49.0,39.0,47.0,51.0,-0.21712,-1.18084,6,0,0
55-64,0,Left school at 17,46.0,33.0,38.0,52.0,29.0,0.19268,-0.21575,6,1,0
45-54,1,Left school at 16,32.0,41.0,44.0,41.0,41.0,-1.37983,0.07987000000000001,6,2,0
25-34,0,Left school at 18,31.0,40.0,35.0,44.0,45.0,0.52975,1.2247,6,1,0
35-44,1,College or university dropout,43.0,39.0,38.0,44.0,41.0,-0.21712,0.40148,6,1,0
55-64,1,Left school at 16,27.0,41.0,43.0,41.0,44.0,-0.71126,0.40148,5,1,0
35-44,0,College or university dropout,39.0,26.0,36.0,38.0,38.0,-1.37983,-2.07848,6,2,0
35-44,0,Masters degree,45.0,36.0,48.0,39.0,40.0,0.52975,-0.21575,6,0,0
35-44,0,Masters degree,49.0,42.0,51.0,45.0,36.0,-1.37983,0.07987000000000001,6,3,0
35-44,1,Professional certificate/ diploma,40.0,37.0,51.0,45.0,47.0,0.88113,0.7654,6,1,0
25-34,1,Left school at 18,22.0,38.0,43.0,45.0,42.0,-0.71126,-0.8463700000000001,6,1,0
65+,0,Left school at 16,34.0,34.0,39.0,48.0,45.0,-1.37983,-1.5485799999999998,6,0,0
45-54,1,Masters degree,29.0,36.0,39.0,47.0,41.0,-1.37983,-2.07848,6,2,0
45-54,1,Masters degree,31.0,42.0,53.0,32.0,49.0,0.52975,-0.21575,6,1,0
35-44,0,University degree,37.0,32.0,48.0,42.0,47.0,-1.37983,-1.5485799999999998,6,2,0
45-54,0,Masters degree,31.0,44.0,44.0,39.0,33.0,0.19268,-0.8463700000000001,6,1,0
35-44,1,Doctorate degree,25.0,37.0,46.0,39.0,48.0,-0.21712,1.2247,6,1,0
25-34,0,University degree,29.0,58.0,51.0,49.0,52.0,0.52975,0.40148,6,3,0
25-34,1,Masters degree,26.0,55.0,50.0,33.0,39.0,-0.21712,1.2247,6,6,0
45-54,0,Left school at 16,30.0,43.0,34.0,42.0,48.0,-1.37983,-0.8463700000000001,6,1,0
45-54,1,Left school at 18,30.0,48.0,55.0,34.0,42.0,-0.71126,1.2247,6,1,0
45-54,0,Professional certificate/ diploma,36.0,44.0,44.0,41.0,43.0,0.19268,0.7654,6,0,0
25-34,0,College or university dropout,27.0,41.0,45.0,50.0,46.0,-0.71126,0.07987000000000001,6,6,0
35-44,1,Professional certificate/ diploma,18.0,43.0,33.0,38.0,54.0,-1.37983,-1.5485799999999998,6,0,0
25-34,0,College or university dropout,46.0,38.0,33.0,45.0,39.0,-1.37983,-0.8463700000000001,5,0,0
35-44,0,Left school at 16,37.0,40.0,37.0,38.0,46.0,0.52975,-0.21575,6,0,0
25-34,0,University degree,31.0,53.0,47.0,44.0,47.0,1.86203,1.2247,6,3,0
45-54,0,College or university dropout,28.0,43.0,36.0,37.0,38.0,-0.71126,0.07987000000000001,6,2,0
45-54,1,Masters degree,34.0,42.0,47.0,41.0,41.0,0.19268,-0.52593,6,0,0
25-34,1,Masters degree,39.0,32.0,40.0,39.0,37.0,0.19268,0.40148,6,3,0
25-34,0,University degree,25.0,42.0,52.0,35.0,36.0,-0.21712,-0.21575,6,2,0
45-54,0,Professional certificate/ diploma,36.0,44.0,48.0,44.0,47.0,0.19268,-0.21575,6,2,0
35-44,1,College or university dropout,17.0,52.0,55.0,38.0,31.0,1.86203,1.2247,6,6,0
25-34,0,Professional certificate/ diploma,38.0,36.0,40.0,45.0,49.0,-1.37983,-2.07848,6,2,0
35-44,1,Professional certificate/ diploma,42.0,36.0,47.0,31.0,39.0,0.52975,-0.21575,4,2,0
25-34,0,University degree,51.0,45.0,55.0,44.0,33.0,0.52975,0.40148,6,1,0
35-44,0,College or university dropout,53.0,26.0,29.0,50.0,44.0,-0.21712,-1.5485799999999998,6,1,1
35-44,0,University degree,32.0,44.0,39.0,45.0,51.0,-0.21712,-0.8463700000000001,4,0,0
25-34,0,Masters degree,26.0,44.0,39.0,36.0,47.0,0.19268,1.92173,6,1,0
35-44,0,Professional certificate/ diploma,50.0,31.0,35.0,29.0,36.0,0.52975,0.07987000000000001,6,0,0
55-64,1,Masters degree,38.0,41.0,45.0,41.0,35.0,-0.21712,-0.52593,6,1,0
25-34,0,University degree,38.0,35.0,43.0,43.0,43.0,1.29221,0.07987000000000001,6,3,0
45-54,1,Left school at 16,32.0,52.0,48.0,46.0,46.0,-0.21712,-0.21575,6,0,0
55-64,1,University degree,31.0,48.0,49.0,44.0,49.0,0.52975,0.40148,5,0,0
45-54,1,University degree,25.0,44.0,38.0,40.0,42.0,-0.21712,-0.8463700000000001,5,1,0
45-54,0,Left school at 17,32.0,34.0,40.0,45.0,48.0,-1.37983,-2.07848,0,0,0
35-44,1,Doctorate degree,36.0,44.0,47.0,44.0,44.0,-0.21712,-1.18084,1,0,0
45-54,0,Masters degree,28.0,46.0,38.0,49.0,45.0,0.19268,0.40148,6,0,0
45-54,0,Left school at 16,45.0,42.0,36.0,46.0,55.0,-0.71126,-1.18084,6,0,0
45-54,0,Left school at 16,22.0,39.0,37.0,57.0,46.0,-1.37983,-2.07848,6,0,0
35-44,0,Left school at 18,33.0,36.0,42.0,42.0,44.0,-1.37983,-1.5485799999999998,6,0,0
35-44,1,Masters degree,35.0,41.0,48.0,42.0,43.0,0.52975,0.40148,6,1,0
25-34,0,Masters degree,60.0,29.0,44.0,47.0,37.0,-1.37983,0.40148,6,1,0
35-44,0,Left school at 16,21.0,50.0,42.0,54.0,52.0,0.52975,-0.52593,6,0,0
45-54,0,University degree,34.0,38.0,34.0,54.0,52.0,1.29221,0.07987000000000001,6,1,0
45-54,0,University degree,25.0,50.0,48.0,48.0,45.0,-2.55524,-1.18084,5,0,0
55-64,1,University degree,31.0,34.0,47.0,45.0,48.0,-1.37983,-1.18084,6,1,2
45-54,1,Left school at 16,35.0,42.0,42.0,49.0,40.0,-0.21712,-0.21575,6,1,0
25-34,0,University degree,54.0,42.0,55.0,49.0,40.0,-0.71126,-0.21575,6,0,0
35-44,0,Left school at 16,28.0,44.0,38.0,51.0,46.0,-1.37983,-2.07848,5,0,0
35-44,1,Left school at 17,31.0,38.0,37.0,45.0,41.0,0.52975,0.40148,6,1,0
35-44,1,Professional certificate/ diploma,21.0,48.0,42.0,51.0,54.0,-0.71126,-0.52593,6,0,0
45-54,1,Professional certificate/ diploma,37.0,32.0,43.0,35.0,42.0,-0.21712,0.7654,6,3,0
45-54,0,University degree,31.0,41.0,38.0,56.0,47.0,1.29221,0.40148,6,1,0
55-64,1,Professional certificate/ diploma,38.0,31.0,45.0,40.0,40.0,0.19268,-1.18084,6,1,0
35-44,1,Masters degree,30.0,43.0,41.0,44.0,48.0,-0.21712,-0.52593,6,0,0
35-44,0,Professional certificate/ diploma,35.0,32.0,28.0,37.0,44.0,-1.37983,-1.5485799999999998,6,0,0
45-54,0,University degree,28.0,52.0,41.0,55.0,52.0,-0.21712,-1.18084,3,2,0
35-44,0,College or university dropout,33.0,48.0,47.0,47.0,49.0,0.19268,0.07987000000000001,6,0,0
35-44,0,University degree,41.0,28.0,33.0,46.0,35.0,-0.71126,-0.8463700000000001,6,2,0
25-34,0,University degree,31.0,29.0,41.0,39.0,37.0,-2.55524,-1.5485799999999998,6,2,0
25-34,1,University degree,29.0,46.0,34.0,48.0,47.0,-0.21712,-0.52593,4,1,0
18-24,0,College or university dropout,59.0,30.0,51.0,40.0,46.0,-0.21712,0.7654,6,0,0
35-44,0,University degree,42.0,30.0,37.0,45.0,40.0,-0.71126,-0.8463700000000001,6,0,0
35-44,0,College or university dropout,48.0,40.0,44.0,50.0,43.0,0.19268,-0.52593,6,2,0
25-34,1,Left school at 16,26.0,47.0,33.0,40.0,47.0,-0.21712,0.7654,6,0,0
35-44,0,University degree,33.0,41.0,44.0,41.0,45.0,0.88113,1.2247,6,0,0
45-54,0,College or university dropout,31.0,36.0,42.0,44.0,44.0,-0.21712,-1.18084,6,0,0
45-54,1,Masters degree,46.0,45.0,49.0,42.0,44.0,-0.21712,0.40148,6,6,0
35-44,1,University degree,29.0,42.0,40.0,54.0,39.0,-0.71126,-1.18084,6,0,0
25-34,0,University degree,38.0,40.0,45.0,53.0,48.0,-1.37983,-0.21575,5,2,0
25-34,0,College or university dropout,53.0,40.0,44.0,49.0,43.0,-0.21712,-0.8463700000000001,6,0,0
25-34,0,Doctorate degree,37.0,42.0,35.0,52.0,49.0,-1.37983,-0.52593,3,1,0
45-54,1,Masters degree,33.0,38.0,44.0,40.0,52.0,-1.37983,-0.8463700000000001,6,1,0
18-24,1,College or university dropout,50.0,31.0,51.0,27.0,27.0,0.88113,0.07987000000000001,5,4,0
25-34,0,Professional certificate/ diploma,36.0,40.0,39.0,40.0,48.0,0.52975,-0.52593,5,0,0
25-34,0,University degree,38.0,48.0,37.0,41.0,33.0,0.52975,0.40148,6,0,0
18-24,0,Left school at 18,32.0,40.0,36.0,47.0,41.0,-0.71126,0.40148,6,0,0
45-54,1,Left school at 16,49.0,38.0,44.0,44.0,41.0,0.88113,0.40148,6,2,3
35-44,1,Masters degree,32.0,46.0,58.0,48.0,36.0,1.29221,1.92173,6,1,0
45-54,0,Professional certificate/ diploma,41.0,36.0,43.0,40.0,47.0,0.19268,-1.18084,6,2,0
35-44,0,University degree,46.0,44.0,54.0,44.0,44.0,0.52975,0.40148,6,0,0
35-44,0,Professional certificate/ diploma,46.0,36.0,30.0,48.0,30.0,0.88113,0.07987000000000001,6,0,0
55-64,0,University degree,42.0,40.0,49.0,51.0,43.0,0.19268,0.07987000000000001,6,1,0
35-44,0,University degree,34.0,36.0,40.0,35.0,38.0,-1.37983,-1.18084,5,0,0
35-44,0,University degree,50.0,40.0,37.0,37.0,49.0,-0.71126,-0.52593,6,0,0
45-54,0,University degree,44.0,33.0,43.0,48.0,41.0,0.19268,-0.21575,6,1,0
35-44,0,Professional certificate/ diploma,40.0,39.0,39.0,50.0,37.0,-1.37983,-1.18084,6,2,0
45-54,0,Professional certificate/ diploma,39.0,44.0,35.0,45.0,48.0,0.19268,0.07987000000000001,6,0,0
25-34,1,Doctorate degree,24.0,37.0,44.0,47.0,48.0,-0.71126,-1.18084,6,0,0
35-44,0,College or university dropout,39.0,45.0,44.0,51.0,47.0,-1.37983,-1.18084,0,0,0
18-24,0,University degree,54.0,37.0,48.0,38.0,48.0,-0.71126,0.40148,6,0,0
55-64,1,Left school at 18,36.0,34.0,39.0,47.0,44.0,-1.37983,-1.18084,6,0,0
35-44,0,University degree,39.0,44.0,46.0,48.0,41.0,-0.21712,-0.52593,6,3,0
35-44,0,Masters degree,29.0,49.0,47.0,45.0,53.0,-1.37983,-1.5485799999999998,6,1,0
55-64,0,Left school at 16,28.0,34.0,32.0,50.0,46.0,-1.37983,-1.5485799999999998,3,1,0
45-54,0,Left school at 16,40.0,30.0,31.0,47.0,40.0,-1.37983,-2.07848,3,0,0
18-24,0,Masters degree,32.0,40.0,43.0,44.0,47.0,-0.71126,-0.8463700000000001,5,2,0
55-64,0,Professional certificate/ diploma,23.0,40.0,40.0,47.0,40.0,-0.71126,-1.5485799999999998,3,0,0
18-24,1,University degree,32.0,48.0,38.0,47.0,38.0,0.52975,0.07987000000000001,6,2,0
25-34,0,Professional certificate/ diploma,28.0,38.0,45.0,45.0,38.0,0.88113,0.07987000000000001,6,5,0
45-54,0,University degree,39.0,32.0,43.0,44.0,43.0,-1.37983,0.07987000000000001,6,1,0
25-34,0,University degree,27.0,48.0,46.0,43.0,45.0,-0.71126,-1.18084,4,2,0
55-64,0,University degree,42.0,42.0,51.0,41.0,48.0,0.52975,0.07987000000000001,6,2,0
18-24,1,University degree,30.0,42.0,42.0,51.0,35.0,0.19268,-1.18084,5,0,0
55-64,0,University degree,32.0,43.0,41.0,37.0,38.0,-0.71126,-0.8463700000000001,5,0,0
25-34,0,Professional certificate/ diploma,35.0,43.0,50.0,48.0,42.0,1.86203,1.2247,5,6,0
45-54,0,Professional certificate/ diploma,31.0,54.0,51.0,54.0,50.0,0.52975,0.07987000000000001,6,4,0
18-24,0,University degree,30.0,41.0,40.0,50.0,51.0,0.52975,1.2247,5,0,0
35-44,1,Masters degree,34.0,33.0,42.0,34.0,50.0,-0.71126,-0.8463700000000001,6,2,0
35-44,0,University degree,29.0,48.0,43.0,49.0,49.0,0.19268,-0.8463700000000001,6,1,0
65+,1,Left school before 16,22.0,32.0,29.0,37.0,37.0,-1.37983,-2.07848,6,0,0
25-34,0,University degree,34.0,46.0,54.0,43.0,44.0,-0.21712,0.40148,6,2,0
35-44,0,Left school at 16,34.0,47.0,48.0,37.0,34.0,1.86203,0.40148,6,0,0
18-24,0,University degree,35.0,48.0,50.0,44.0,45.0,0.88113,0.07987000000000001,6,0,0
35-44,0,Professional certificate/ diploma,29.0,43.0,42.0,47.0,41.0,-0.21712,0.40148,6,6,0
35-44,0,University degree,37.0,40.0,45.0,41.0,42.0,0.52975,1.2247,6,6,0
25-34,1,Masters degree,23.0,43.0,53.0,40.0,49.0,-1.37983,-0.8463700000000001,6,0,0
25-34,0,College or university dropout,43.0,41.0,36.0,43.0,32.0,1.86203,0.7654,6,0,0
45-54,0,Left school at 16,29.0,36.0,38.0,50.0,48.0,-1.37983,-2.07848,6,0,0
25-34,0,Professional certificate/ diploma,37.0,44.0,40.0,54.0,46.0,-0.21712,-1.18084,6,1,0
45-54,0,Professional certificate/ diploma,41.0,39.0,37.0,49.0,43.0,-1.37983,-1.5485799999999998,6,0,0
25-34,0,Professional certificate/ diploma,34.0,47.0,49.0,51.0,50.0,0.19268,1.2247,5,2,0
25-34,0,University degree,51.0,38.0,41.0,50.0,39.0,0.19268,0.07987000000000001,6,4,0
25-34,0,Professional certificate/ diploma,38.0,47.0,48.0,52.0,42.0,0.88113,0.7654,6,1,0
35-44,1,Professional certificate/ diploma,48.0,45.0,49.0,52.0,29.0,1.86203,0.7654,6,1,1
25-34,0,Masters degree,39.0,47.0,40.0,36.0,47.0,-0.21712,-0.52593,6,3,0
35-44,0,College or university dropout,32.0,36.0,47.0,50.0,44.0,-1.37983,-0.8463700000000001,4,1,0
18-24,0,University degree,44.0,38.0,48.0,43.0,43.0,0.19268,0.07987000000000001,6,3,0
25-34,0,University degree,34.0,43.0,43.0,38.0,48.0,0.52975,-0.52593,6,0,0
35-44,0,University degree,33.0,44.0,51.0,50.0,44.0,1.29221,1.2247,5,2,0
55-64,1,University degree,25.0,47.0,44.0,50.0,48.0,-0.21712,0.07987000000000001,1,0,0
45-54,0,University degree,31.0,49.0,48.0,46.0,47.0,-0.21712,-0.21575,0,0,0
35-44,0,University degree,24.0,44.0,52.0,40.0,44.0,-1.37983,-1.5485799999999998,6,0,0
45-54,0,University degree,31.0,43.0,41.0,52.0,51.0,-0.21712,-0.8463700000000001,6,1,0
18-24,1,College or university dropout,38.0,46.0,39.0,39.0,46.0,1.29221,0.40148,5,4,0
45-54,1,Masters degree,29.0,42.0,46.0,38.0,41.0,0.19268,0.07987000000000001,6,2,0
45-54,0,University degree,26.0,49.0,47.0,49.0,52.0,-1.37983,-2.07848,6,1,0
35-44,0,Professional certificate/ diploma,46.0,23.0,33.0,47.0,45.0,-1.37983,-1.5485799999999998,5,1,0
65+,0,Masters degree,37.0,32.0,43.0,40.0,44.0,-0.21712,-1.5485799999999998,6,0,0
25-34,0,University degree,36.0,48.0,46.0,44.0,47.0,0.52975,0.7654,6,0,0
45-54,1,University degree,29.0,45.0,36.0,49.0,44.0,0.52975,0.40148,6,0,0
25-34,0,University degree,40.0,46.0,46.0,37.0,52.0,0.19268,0.40148,6,2,0
25-34,0,Professional certificate/ diploma,36.0,46.0,37.0,56.0,54.0,-1.37983,-2.07848,6,0,0
25-34,0,Masters degree,50.0,42.0,45.0,46.0,45.0,0.19268,-0.21575,6,0,0
25-34,0,Left school at 16,45.0,39.0,30.0,45.0,50.0,-1.37983,-2.07848,6,3,0
18-24,0,Left school at 18,41.0,39.0,41.0,39.0,44.0,-0.21712,-0.21575,6,0,0
45-54,0,Professional certificate/ diploma,20.0,44.0,51.0,53.0,44.0,-1.37983,-0.8463700000000001,6,0,0
35-44,0,Masters degree,42.0,31.0,46.0,53.0,56.0,-1.37983,-0.8463700000000001,6,0,0
25-34,0,Left school at 18,55.0,31.0,40.0,48.0,34.0,0.19268,-1.18084,4,2,0
18-24,0,College or university dropout,50.0,29.0,24.0,48.0,35.0,-1.37983,-1.5485799999999998,6,0,0
25-34,0,University degree,30.0,47.0,51.0,49.0,48.0,-1.37983,-0.21575,6,3,0
35-44,1,University degree,54.0,29.0,45.0,50.0,20.0,-0.71126,-0.52593,6,1,0
25-34,0,College or university dropout,33.0,33.0,34.0,33.0,31.0,-2.55524,-1.5485799999999998,6,1,0
25-34,0,Professional certificate/ diploma,49.0,35.0,37.0,46.0,37.0,-0.21712,-0.8463700000000001,0,2,0
45-54,1,Masters degree,27.0,38.0,38.0,47.0,52.0,-0.21712,-0.52593,6,0,0
45-54,0,Doctorate degree,16.0,41.0,44.0,55.0,53.0,-0.71126,-1.18084,5,0,0
45-54,0,Professional certificate/ diploma,47.0,42.0,45.0,49.0,49.0,-0.71126,-0.21575,0,0,0
45-54,1,University degree,31.0,41.0,44.0,40.0,51.0,0.19268,-0.8463700000000001,6,0,0
35-44,0,University degree,42.0,33.0,41.0,42.0,47.0,-1.37983,-1.5485799999999998,5,0,0
18-24,0,Masters degree,23.0,46.0,42.0,56.0,54.0,-0.71126,-0.21575,6,2,0
45-54,0,Doctorate degree,28.0,41.0,48.0,43.0,48.0,-1.37983,-2.07848,6,2,0
25-34,1,Professional certificate/ diploma,49.0,35.0,41.0,37.0,40.0,-1.37983,-0.8463700000000001,6,3,0
35-44,0,Masters degree,25.0,51.0,53.0,51.0,47.0,0.19268,0.40148,5,2,0
18-24,0,College or university dropout,31.0,44.0,44.0,48.0,48.0,-0.71126,-0.21575,2,2,0
35-44,1,Doctorate degree,36.0,40.0,52.0,25.0,40.0,-0.71126,0.07987000000000001,6,1,0
65+,1,Doctorate degree,41.0,39.0,43.0,33.0,53.0,-0.71126,-1.5485799999999998,4,0,0
65+,1,Professional certificate/ diploma,26.0,38.0,48.0,46.0,47.0,-0.21712,-0.52593,6,0,0
45-54,0,Professional certificate/ diploma,31.0,46.0,58.0,37.0,42.0,1.86203,1.2247,6,2,0
55-64,1,University degree,29.0,37.0,51.0,43.0,41.0,1.86203,0.07987000000000001,0,1,0
45-54,1,Masters degree,27.0,45.0,44.0,49.0,44.0,-1.37983,-1.5485799999999998,6,0,0
55-64,0,Left school before 16,26.0,40.0,46.0,53.0,49.0,-0.71126,-1.5485799999999998,0,0,0
18-24,0,University degree,31.0,41.0,46.0,47.0,46.0,-1.37983,-1.18084,5,2,0
35-44,0,University degree,33.0,40.0,43.0,43.0,42.0,-0.71126,-2.07848,6,0,0
55-64,1,University degree,25.0,39.0,45.0,45.0,47.0,-0.21712,0.07987000000000001,6,3,0
35-44,1,Professional certificate/ diploma,27.0,49.0,37.0,40.0,42.0,-0.21712,0.07987000000000001,6,0,0
45-54,0,Masters degree,26.0,51.0,50.0,46.0,54.0,-0.21712,-0.52593,6,1,0
